nose: x=0.0007875916, y=-0.4590379596, z=-0.1460134387
left_eye: x=0.0007875916, y=-0.4590379596, z=-0.1460134387
right_eye: x=0.0007875916, y=-0.4590379596, z=-0.1460134387
left_ear: x=0.0007875916, y=-0.4590379596, z=-0.1460134387
right_ear: x=0.0007875916, y=-0.4590379596, z=-0.1460134387
left_shoulder: x=0.0969766080, y=-0.3302671015, z=-0.0643219203
right_shoulder: x=-0.1176690161, y=-0.3290647864, z=-0.0931992233
left_elbow: x=0.1398825496, y=-0.1464976966, z=0.0198797621
right_elbow: x=-0.1650764942, y=-0.1438752264, z=-0.0175466258
left_wrist: x=0.1387403905, y=0.0102696568, z=0.0278345104
right_wrist: x=-0.1521654129, y=0.0181105137, z=-0.0285362210
left_hip: x=0.0752782747, y=-0.0031730309, z=-0.0043666419
right_hip: x=-0.0748061240, y=0.0005501136, z=0.0026392210
left_knee: x=0.0572247207, y=0.2403753847, z=-0.0361082107
right_knee: x=-0.0612757429, y=0.2660257220, z=-0.0069199167
left_ankle: x=0.0283572879, y=0.4112643600, z=0.1399960071
right_ankle: x=-0.0454368666, y=0.4594081342, z=0.1327590495
