nose: x=0.0025596567, y=-0.3601905704, z=-0.1867188364
left_eye: x=0.0025596567, y=-0.3601905704, z=-0.1867188364
right_eye: x=0.0025596567, y=-0.3601905704, z=-0.1867188364
left_ear: x=0.0025596567, y=-0.3601905704, z=-0.1867188364
right_ear: x=0.0025596567, y=-0.3601905704, z=-0.1867188364
left_shoulder: x=0.0964088738, y=-0.2611571550, z=-0.1041671708
right_shoulder: x=-0.1060523167, y=-0.2595623136, z=-0.1262187213
left_elbow: x=0.1350406557, y=-0.0964971483, z=-0.0353458188
right_elbow: x=-0.1502607763, y=-0.0898231119, z=-0.0708314851
left_wrist: x=0.1474244297, y=0.0514571704, z=-0.0033120858
right_wrist: x=-0.1562405080, y=0.0702886209, z=-0.0670554787
left_hip: x=0.0694182292, y=0.0016076118, z=-0.0001638476
right_hip: x=-0.0708812773, y=-0.0019083023, z=0.0025310442
left_knee: x=0.0458820388, y=0.1490077227, z=-0.1540247649
right_knee: x=-0.0583632141, y=0.1333446354, z=-0.1564880759
left_ankle: x=-0.0093421582, y=0.2353969663, z=-0.0203345437
right_ankle: x=-0.0528037027, y=0.2143904567, z=0.0029101192
