nose: x=0.0054176031, y=-0.3709042668, z=-0.1893467605
left_eye: x=0.0054176031, y=-0.3709042668, z=-0.1893467605
right_eye: x=0.0054176031, y=-0.3709042668, z=-0.1893467605
left_ear: x=0.0054176031, y=-0.3709042668, z=-0.1893467605
right_ear: x=0.0054176031, y=-0.3709042668, z=-0.1893467605
left_shoulder: x=0.0972901285, y=-0.2691841722, z=-0.1028463915
right_shoulder: x=-0.1055758297, y=-0.2683692575, z=-0.1273017526
left_elbow: x=0.1374710053, y=-0.1007805169, z=-0.0317169651
right_elbow: x=-0.1519421041, y=-0.0977302417, z=-0.0686897337
left_wrist: x=0.1456872672, y=0.0496070795, z=-0.0051756455
right_wrist: x=-0.1555803716, y=0.0631836057, z=-0.0672267750
left_hip: x=0.0698390529, y=0.0009036958, z=-0.0000085072
right_hip: x=-0.0703553855, y=-0.0009405315, z=0.0004087184
left_knee: x=0.0525762364, y=0.1751984954, z=-0.1388149559
right_knee: x=-0.0541950464, y=0.1777685881, z=-0.1407142282
left_ankle: x=0.0095488857, y=0.2619233131, z=0.0143776797
right_ankle: x=-0.0460178480, y=0.2843048573, z=0.0191372447
