nose: x=0.0004722276, y=-0.4827271402, z=-0.1234894320
left_eye: x=0.0004722276, y=-0.4827271402, z=-0.1234894320
right_eye: x=0.0004722276, y=-0.4827271402, z=-0.1234894320
left_ear: x=0.0004722276, y=-0.4827271402, z=-0.1234894320
right_ear: x=0.0004722276, y=-0.4827271402, z=-0.1234894320
left_shoulder: x=0.1038037390, y=-0.3453145027, z=-0.0592913814
right_shoulder: x=-0.1195581779, y=-0.3484849930, z=-0.0599882603
left_elbow: x=0.1443353295, y=-0.1568231732, z=0.0325221606
right_elbow: x=-0.1649047434, y=-0.1585640907, z=0.0232104678
left_wrist: x=0.1415911913, y=-0.0027240142, z=0.0659852028
right_wrist: x=-0.1637326479, y=0.0026959404, z=0.0279724002
left_hip: x=0.0795863196, y=0.0010043159, z=-0.0241109636
right_hip: x=-0.0788545758, y=-0.0040122494, z=0.0243753567
left_knee: x=0.0499019623, y=0.2820764184, z=0.0210441388
right_knee: x=-0.0773824006, y=0.2640669942, z=0.0728013813
left_ankle: x=0.0244164169, y=0.5143867731, z=0.1267604381
right_ankle: x=-0.0594425052, y=0.4859858155, z=0.1851460040
