nose: x=0.0027150935, y=-0.3932656050, z=-0.1024519205
left_eye: x=0.0027150935, y=-0.3932656050, z=-0.1024519205
right_eye: x=0.0027150935, y=-0.3932656050, z=-0.1024519205
left_ear: x=0.0027150935, y=-0.3932656050, z=-0.1024519205
right_ear: x=0.0027150935, y=-0.3932656050, z=-0.1024519205
left_shoulder: x=0.0944252461, y=-0.2871751189, z=-0.0631624535
right_shoulder: x=-0.1052548587, y=-0.2920560539, z=-0.0670288056
left_elbow: x=0.1305538714, y=-0.1175885126, z=0.0009533148
right_elbow: x=-0.1508670747, y=-0.1194332615, z=-0.0118759172
left_wrist: x=0.1459899098, y=0.0274435431, z=0.0245190859
right_wrist: x=-0.1569313556, y=0.0337542817, z=-0.0022275485
left_hip: x=0.0677452609, y=0.0003008991, z=-0.0095337890
right_hip: x=-0.0687335879, y=-0.0021923408, z=0.0103528071
left_knee: x=0.0256922841, y=-0.0709346160, z=-0.1989858896
right_knee: x=-0.0749899372, y=-0.0934567750, z=-0.1789731979
left_ankle: x=-0.0195168331, y=0.1493049264, z=-0.0960935503
right_ankle: x=-0.0241103657, y=0.1157753170, z=-0.0435510986
