nose: x=0.0020733257, y=-0.3898928165, z=-0.0994296521
left_eye: x=0.0020733257, y=-0.3898928165, z=-0.0994296521
right_eye: x=0.0020733257, y=-0.3898928165, z=-0.0994296521
left_ear: x=0.0020733257, y=-0.3898928165, z=-0.0994296521
right_ear: x=0.0020733257, y=-0.3898928165, z=-0.0994296521
left_shoulder: x=0.0947559923, y=-0.2853569686, z=-0.0604495108
right_shoulder: x=-0.1052837670, y=-0.2902217209, z=-0.0634258986
left_elbow: x=0.1308738887, y=-0.1151289567, z=0.0015212577
right_elbow: x=-0.1507905871, y=-0.1174457744, z=-0.0122216232
left_wrist: x=0.1466466635, y=0.0305503756, z=0.0242354274
right_wrist: x=-0.1568434685, y=0.0368517116, z=-0.0045654224
left_hip: x=0.0680469126, y=0.0002854615, z=-0.0091926027
right_hip: x=-0.0682929307, y=-0.0023076683, z=0.0104696937
left_knee: x=0.0313192233, y=-0.0654227808, z=-0.2007746249
right_knee: x=-0.0747019649, y=-0.0887817666, z=-0.1797866523
left_ankle: x=-0.0189074576, y=0.1524744034, z=-0.0962127745
right_ankle: x=-0.0240621008, y=0.1204940006, z=-0.0475590974
