nose: x=0.0048880354, y=-0.4111155868, z=-0.1756507307
left_eye: x=0.0048880354, y=-0.4111155868, z=-0.1756507307
right_eye: x=0.0048880354, y=-0.4111155868, z=-0.1756507307
left_ear: x=0.0048880354, y=-0.4111155868, z=-0.1756507307
right_ear: x=0.0048880354, y=-0.4111155868, z=-0.1756507307
left_shoulder: x=0.0972117186, y=-0.2968025208, z=-0.0902801752
right_shoulder: x=-0.1098894477, y=-0.2964040637, z=-0.1178735569
left_elbow: x=0.1390013546, y=-0.1204153672, z=-0.0134819001
right_elbow: x=-0.1576842368, y=-0.1198104024, z=-0.0510490872
left_wrist: x=0.1422986835, y=0.0336915329, z=0.0011693528
right_wrist: x=-0.1536265314, y=0.0422705635, z=-0.0579295307
left_hip: x=0.0716682822, y=-0.0011347458, z=-0.0009493469
right_hip: x=-0.0709976032, y=-0.0003967881, z=-0.0007458711
left_knee: x=0.0521966070, y=0.2030484527, z=-0.1056910902
right_knee: x=-0.0564746708, y=0.2253044546, z=-0.0953657702
left_ankle: x=0.0222738646, y=0.3234366775, z=0.0653197914
right_ankle: x=-0.0416564271, y=0.3726610541, z=0.0719131827
