nose: x=0.0019340594, y=-0.4829213023, z=-0.1227451861
left_eye: x=0.0019340594, y=-0.4829213023, z=-0.1227451861
right_eye: x=0.0019340594, y=-0.4829213023, z=-0.1227451861
left_ear: x=0.0019340594, y=-0.4829213023, z=-0.1227451861
right_ear: x=0.0019340594, y=-0.4829213023, z=-0.1227451861
left_shoulder: x=0.1050736234, y=-0.3455049992, z=-0.0589136444
right_shoulder: x=-0.1187152117, y=-0.3492962420, z=-0.0591040552
left_elbow: x=0.1446782053, y=-0.1567024142, z=0.0336598046
right_elbow: x=-0.1645500958, y=-0.1591456532, z=0.0246772282
left_wrist: x=0.1414683163, y=-0.0026806891, z=0.0674191788
right_wrist: x=-0.1636120379, y=0.0019633844, z=0.0303540491
left_hip: x=0.0797302276, y=0.0010850653, z=-0.0241503231
right_hip: x=-0.0788684785, y=-0.0040283278, z=0.0247287005
left_knee: x=0.0503249094, y=0.2820440531, z=0.0236056931
right_knee: x=-0.0770287886, y=0.2633704543, z=0.0763058215
left_ankle: x=0.0253171623, y=0.5141710043, z=0.1287739426
right_ankle: x=-0.0586244650, y=0.4860208035, z=0.1868360490
