nose: x=0.0020235283, y=-0.3603478670, z=-0.1847426295
left_eye: x=0.0020235283, y=-0.3603478670, z=-0.1847426295
right_eye: x=0.0020235283, y=-0.3603478670, z=-0.1847426295
left_ear: x=0.0020235283, y=-0.3603478670, z=-0.1847426295
right_ear: x=0.0020235283, y=-0.3603478670, z=-0.1847426295
left_shoulder: x=0.0963225365, y=-0.2612917423, z=-0.1033214927
right_shoulder: x=-0.1062679589, y=-0.2596002221, z=-0.1250522584
left_elbow: x=0.1347651631, y=-0.0970983580, z=-0.0347670875
right_elbow: x=-0.1500617266, y=-0.0896694213, z=-0.0702055544
left_wrist: x=0.1479320377, y=0.0504741296, z=-0.0025064433
right_wrist: x=-0.1562159956, y=0.0703149736, z=-0.0661605522
left_hip: x=0.0693904907, y=0.0014534518, z=-0.0002692039
right_hip: x=-0.0710072368, y=-0.0021148920, z=0.0028794752
left_knee: x=0.0443588495, y=0.1412741691, z=-0.1581356227
right_knee: x=-0.0595321953, y=0.1219141036, z=-0.1603959948
left_ankle: x=-0.0126650138, y=0.2301938832, z=-0.0273848884
right_ankle: x=-0.0525199361, y=0.2014567852, z=-0.0004320199
