nose: x=0.0058469567, y=-0.3749812841, z=-0.1885472238
left_eye: x=0.0058469567, y=-0.3749812841, z=-0.1885472238
right_eye: x=0.0058469567, y=-0.3749812841, z=-0.1885472238
left_ear: x=0.0058469567, y=-0.3749812841, z=-0.1885472238
right_ear: x=0.0058469567, y=-0.3749812841, z=-0.1885472238
left_shoulder: x=0.0974547341, y=-0.2719774842, z=-0.1018014848
right_shoulder: x=-0.1056730226, y=-0.2713922858, z=-0.1267435849
left_elbow: x=0.1378943473, y=-0.1025389582, z=-0.0300410055
right_elbow: x=-0.1524044275, y=-0.1002065241, z=-0.0673960000
left_wrist: x=0.1453600675, y=0.0483468287, z=-0.0049261320
right_wrist: x=-0.1552990675, y=0.0608777888, z=-0.0665291101
left_hip: x=0.0699993670, y=0.0006389767, z=-0.0000718408
right_hip: x=-0.0703134164, y=-0.0007493272, z=0.0000612987
left_knee: x=0.0532136038, y=0.1791200936, z=-0.1356044859
right_knee: x=-0.0540115908, y=0.1850471497, z=-0.1365447938
left_ankle: x=0.0124517400, y=0.2686877847, z=0.0206662118
right_ankle: x=-0.0442355052, y=0.2983610630, z=0.0237281080
