nose: x=0.0009023757, y=-0.3613598645, z=-0.1780502796
left_eye: x=0.0009023757, y=-0.3613598645, z=-0.1780502796
right_eye: x=0.0009023757, y=-0.3613598645, z=-0.1780502796
left_ear: x=0.0009023757, y=-0.3613598645, z=-0.1780502796
right_ear: x=0.0009023757, y=-0.3613598645, z=-0.1780502796
left_shoulder: x=0.0962944627, y=-0.2627177238, z=-0.0995433182
right_shoulder: x=-0.1068278626, y=-0.2608381510, z=-0.1199714094
left_elbow: x=0.1343357265, y=-0.0989037380, z=-0.0316568427
right_elbow: x=-0.1494975686, y=-0.0900407359, z=-0.0663954541
left_wrist: x=0.1494231820, y=0.0480511598, z=0.0008339593
right_wrist: x=-0.1559774578, y=0.0698801577, z=-0.0603929833
left_hip: x=0.0693279505, y=0.0010669380, z=-0.0009190459
right_hip: x=-0.0711132139, y=-0.0021470264, z=0.0037721545
left_knee: x=0.0416531526, y=0.1194998547, z=-0.1685972810
right_knee: x=-0.0622929633, y=0.0942136124, z=-0.1660355628
left_ankle: x=-0.0170658026, y=0.2143518031, z=-0.0422700718
right_ankle: x=-0.0501356572, y=0.1753326654, z=-0.0074631888
