nose: x=-0.0024863938, y=-0.4706441760, z=-0.1360897273
left_eye: x=-0.0024863938, y=-0.4706441760, z=-0.1360897273
right_eye: x=-0.0024863938, y=-0.4706441760, z=-0.1360897273
left_ear: x=-0.0024863938, y=-0.4706441760, z=-0.1360897273
right_ear: x=-0.0024863938, y=-0.4706441760, z=-0.1360897273
left_shoulder: x=0.0948233306, y=-0.3366126120, z=-0.0577712655
right_shoulder: x=-0.1220721975, y=-0.3364689052, z=-0.0829471052
left_elbow: x=0.1400687695, y=-0.1519052982, z=0.0286440030
right_elbow: x=-0.1698538065, y=-0.1488250792, z=-0.0046911053
left_wrist: x=0.1391807348, y=0.0031651482, z=0.0409387127
right_wrist: x=-0.1568004340, y=0.0118573233, z=-0.0134040937
left_hip: x=0.0771875978, y=-0.0030860379, z=-0.0089410078
right_hip: x=-0.0771349818, y=0.0014027730, z=0.0078605916
left_knee: x=0.0623159185, y=0.2553215623, z=-0.0153504172
right_knee: x=-0.0623649694, y=0.2741262317, z=0.0216309801
left_ankle: x=0.0405789465, y=0.4299224615, z=0.1568860561
right_ankle: x=-0.0445827693, y=0.4831663966, z=0.1487327814
