nose: x=-0.0010469356, y=-0.3813188970, z=-0.1406006366
left_eye: x=-0.0010469356, y=-0.3813188970, z=-0.1406006366
right_eye: x=-0.0010469356, y=-0.3813188970, z=-0.1406006366
left_ear: x=-0.0010469356, y=-0.3813188970, z=-0.1406006366
right_ear: x=-0.0010469356, y=-0.3813188970, z=-0.1406006366
left_shoulder: x=0.0933403522, y=-0.2786921263, z=-0.0807719231
right_shoulder: x=-0.1083965898, y=-0.2801124454, z=-0.0955806077
left_elbow: x=0.1314646900, y=-0.1137014404, z=-0.0147650503
right_elbow: x=-0.1523870230, y=-0.1092605740, z=-0.0396022797
left_wrist: x=0.1489642560, y=0.0321652107, z=0.0115781371
right_wrist: x=-0.1579828858, y=0.0466139987, z=-0.0269754268
left_hip: x=0.0678625852, y=-0.0006235838, z=-0.0046890518
right_hip: x=-0.0693688691, y=-0.0018017739, z=0.0059514930
left_knee: x=0.0339555889, y=-0.0185031202, z=-0.2009020299
right_knee: x=-0.0725885928, y=-0.0414017215, z=-0.1830717325
left_ankle: x=-0.0151734762, y=0.1529809237, z=-0.0787805393
right_ankle: x=-0.0283651315, y=0.1166273355, z=-0.0325450227
