nose: x=0.0029517696, y=-0.4828613400, z=-0.1221982390
left_eye: x=0.0029517696, y=-0.4828613400, z=-0.1221982390
right_eye: x=0.0029517696, y=-0.4828613400, z=-0.1221982390
left_ear: x=0.0029517696, y=-0.4828613400, z=-0.1221982390
right_ear: x=0.0029517696, y=-0.4828613400, z=-0.1221982390
left_shoulder: x=0.1059046835, y=-0.3453901410, z=-0.0585255399
right_shoulder: x=-0.1181743965, y=-0.3495303988, z=-0.0584442690
left_elbow: x=0.1448187828, y=-0.1565998942, z=0.0351692885
right_elbow: x=-0.1644562781, y=-0.1593374908, z=0.0260879006
left_wrist: x=0.1413055211, y=-0.0027251914, z=0.0692271888
right_wrist: x=-0.1635966450, y=0.0016170070, z=0.0330217853
left_hip: x=0.0799483210, y=0.0011180267, z=-0.0242523532
right_hip: x=-0.0789951012, y=-0.0040002018, z=0.0252122208
left_knee: x=0.0508437455, y=0.2820342779, z=0.0261281803
right_knee: x=-0.0766936690, y=0.2629243135, z=0.0795443952
left_ankle: x=0.0262581781, y=0.5139141083, z=0.1306781471
right_ankle: x=-0.0578112379, y=0.4861675203, z=0.1883639693
