nose: x=0.0002210601, y=-0.3922986984, z=-0.1135316715
left_eye: x=0.0002210601, y=-0.3922986984, z=-0.1135316715
right_eye: x=0.0002210601, y=-0.3922986984, z=-0.1135316715
left_ear: x=0.0002210601, y=-0.3922986984, z=-0.1135316715
right_ear: x=0.0002210601, y=-0.3922986984, z=-0.1135316715
left_shoulder: x=0.0928668678, y=-0.2863964438, z=-0.0680824965
right_shoulder: x=-0.1063576415, y=-0.2901801467, z=-0.0753266215
left_elbow: x=0.1300519705, y=-0.1193043590, z=-0.0018279646
right_elbow: x=-0.1515502930, y=-0.1192089915, z=-0.0179389901
left_wrist: x=0.1464930475, y=0.0248197019, z=0.0215835404
right_wrist: x=-0.1571603715, y=0.0338273197, z=-0.0075678481
left_hip: x=0.0677556917, y=0.0002926365, z=-0.0087376991
right_hip: x=-0.0688477010, y=-0.0020599589, z=0.0088763004
left_knee: x=0.0232096966, y=-0.0752284825, z=-0.1999928951
right_knee: x=-0.0748251975, y=-0.0980645046, z=-0.1763892174
left_ankle: x=-0.0185739882, y=0.1423501670, z=-0.0950252712
right_ankle: x=-0.0234058853, y=0.1088800281, z=-0.0444516167
