nose: x=0.0048574670, y=-0.3675432801, z=-0.1896201670
left_eye: x=0.0048574670, y=-0.3675432801, z=-0.1896201670
right_eye: x=0.0048574670, y=-0.3675432801, z=-0.1896201670
left_ear: x=0.0048574670, y=-0.3675432801, z=-0.1896201670
right_ear: x=0.0048574670, y=-0.3675432801, z=-0.1896201670
left_shoulder: x=0.0970621258, y=-0.2668016851, z=-0.1035851538
right_shoulder: x=-0.1055917218, y=-0.2657745183, z=-0.1275490224
left_elbow: x=0.1369542181, y=-0.0993061811, z=-0.0330352932
right_elbow: x=-0.1515548378, y=-0.0955345556, z=-0.0696448311
left_wrist: x=0.1459727883, y=0.0505895279, z=-0.0051814662
right_wrist: x=-0.1558455527, y=0.0651746690, z=-0.0676353872
left_hip: x=0.0697023496, y=0.0011456832, z=0.0000013052
right_hip: x=-0.0704282075, y=-0.0011308938, z=0.0008188142
left_knee: x=0.0516269431, y=0.1711062342, z=-0.1417241246
right_knee: x=-0.0546346009, y=0.1703871489, z=-0.1441166699
left_ankle: x=0.0062136091, y=0.2555873394, z=0.0080926884
right_ankle: x=-0.0480045564, y=0.2699709237, z=0.0155302314
