nose: x=0.0026869630, y=-0.3904527426, z=-0.1001598686
left_eye: x=0.0026869630, y=-0.3904527426, z=-0.1001598686
right_eye: x=0.0026869630, y=-0.3904527426, z=-0.1001598686
left_ear: x=0.0026869630, y=-0.3904527426, z=-0.1001598686
right_ear: x=0.0026869630, y=-0.3904527426, z=-0.1001598686
left_shoulder: x=0.0946286619, y=-0.2857335806, z=-0.0614713356
right_shoulder: x=-0.1052696407, y=-0.2906901836, z=-0.0644866973
left_elbow: x=0.1306702793, y=-0.1152992994, z=0.0011217417
right_elbow: x=-0.1506776363, y=-0.1176980883, z=-0.0121589303
left_wrist: x=0.1463091075, y=0.0300562456, z=0.0246560499
right_wrist: x=-0.1568776220, y=0.0362226814, z=-0.0035814419
left_hip: x=0.0680810586, y=0.0001664981, z=-0.0092591839
right_hip: x=-0.0685351342, y=-0.0023633838, z=0.0107226204
left_knee: x=0.0300400965, y=-0.0659496039, z=-0.1998401433
right_knee: x=-0.0747648105, y=-0.0891982317, z=-0.1794987917
left_ankle: x=-0.0193266831, y=0.1519361734, z=-0.0964335427
right_ankle: x=-0.0240976773, y=0.1193766296, z=-0.0453025922
