nose: x=0.0052698646, y=-0.4057536721, z=-0.1780803949
left_eye: x=0.0052698646, y=-0.4057536721, z=-0.1780803949
right_eye: x=0.0052698646, y=-0.4057536721, z=-0.1780803949
left_ear: x=0.0052698646, y=-0.4057536721, z=-0.1780803949
right_ear: x=0.0052698646, y=-0.4057536721, z=-0.1780803949
left_shoulder: x=0.0972458124, y=-0.2930850089, z=-0.0923438072
right_shoulder: x=-0.1090787053, y=-0.2927759290, z=-0.1197151020
left_elbow: x=0.1389338374, y=-0.1175242290, z=-0.0163334459
right_elbow: x=-0.1569179147, y=-0.1169765592, z=-0.0540604182
left_wrist: x=0.1427592337, y=0.0361631699, z=-0.0005438663
right_wrist: x=-0.1539147794, y=0.0449961200, z=-0.0597342774
left_hip: x=0.0713833719, y=-0.0009134188, z=-0.0007944694
right_hip: x=-0.0707852319, y=-0.0003815293, z=-0.0007763691
left_knee: x=0.0524436459, y=0.1996014714, z=-0.1106877625
right_knee: x=-0.0559480675, y=0.2204616964, z=-0.1023467928
left_ankle: x=0.0216078460, y=0.3149613738, z=0.0581784025
right_ankle: x=-0.0413649417, y=0.3638060093, z=0.0649367124
