nose: x=-0.0040422049, y=-0.4819245934, z=-0.1249497682
left_eye: x=-0.0040422049, y=-0.4819245934, z=-0.1249497682
right_eye: x=-0.0040422049, y=-0.4819245934, z=-0.1249497682
left_ear: x=-0.0040422049, y=-0.4819245934, z=-0.1249497682
right_ear: x=-0.0040422049, y=-0.4819245934, z=-0.1249497682
left_shoulder: x=0.0997127891, y=-0.3447220922, z=-0.0587422773
right_shoulder: x=-0.1226084009, y=-0.3458154202, z=-0.0625099316
left_elbow: x=0.1425205618, y=-0.1570796967, z=0.0305485576
right_elbow: x=-0.1666011512, y=-0.1559704393, z=0.0189163703
left_wrist: x=0.1406292617, y=-0.0028838962, z=0.0615441576
right_wrist: x=-0.1634280086, y=0.0052177086, z=0.0213444717
left_hip: x=0.0790539011, y=0.0006793439, z=-0.0223929323
right_hip: x=-0.0788023770, y=-0.0035710633, z=0.0223383252
left_knee: x=0.0515143424, y=0.2814848423, z=0.0129126590
right_knee: x=-0.0754612237, y=0.2662250400, z=0.0623133220
left_ankle: x=0.0263126399, y=0.5141343474, z=0.1198999658
right_ankle: x=-0.0578916743, y=0.4870043695, z=0.1779305935
