nose: x=0.0029179612, y=-0.3912994862, z=-0.1007810906
left_eye: x=0.0029179612, y=-0.3912994862, z=-0.1007810906
right_eye: x=0.0029179612, y=-0.3912994862, z=-0.1007810906
left_ear: x=0.0029179612, y=-0.3912994862, z=-0.1007810906
right_ear: x=0.0029179612, y=-0.3912994862, z=-0.1007810906
left_shoulder: x=0.0945639461, y=-0.2860669494, z=-0.0622003973
right_shoulder: x=-0.1052542627, y=-0.2910596430, z=-0.0654075295
left_elbow: x=0.1305304468, y=-0.1157733351, z=0.0008965135
right_elbow: x=-0.1507431567, y=-0.1180898026, z=-0.0121104252
left_wrist: x=0.1460700780, y=0.0294867456, z=0.0248728301
right_wrist: x=-0.1569113135, y=0.0355871841, z=-0.0028795376
left_hip: x=0.0679758936, y=0.0001460016, z=-0.0093101189
right_hip: x=-0.0686566979, y=-0.0022782758, z=0.0106669702
left_knee: x=0.0285595860, y=-0.0667908639, z=-0.1992533356
right_knee: x=-0.0749154687, y=-0.0898272097, z=-0.1794773638
left_ankle: x=-0.0193637069, y=0.1514930427, z=-0.0963117853
right_ankle: x=-0.0240663234, y=0.1186079234, z=-0.0443446748
