nose: x=0.0061944854, y=-0.3844404817, z=-0.1861329228
left_eye: x=0.0061944854, y=-0.3844404817, z=-0.1861329228
right_eye: x=0.0061944854, y=-0.3844404817, z=-0.1861329228
left_ear: x=0.0061944854, y=-0.3844404817, z=-0.1861329228
right_ear: x=0.0061944854, y=-0.3844404817, z=-0.1861329228
left_shoulder: x=0.0974659771, y=-0.2784424722, z=-0.0993607491
right_shoulder: x=-0.1063002273, y=-0.2782309949, z=-0.1252562255
left_elbow: x=0.1384750605, y=-0.1068629101, z=-0.0261682421
right_elbow: x=-0.1537190676, y=-0.1055736244, z=-0.0640898719
left_wrist: x=0.1445993781, y=0.0450084135, z=-0.0042692302
right_wrist: x=-0.1548497379, y=0.0558982641, z=-0.0649548173
left_hip: x=0.0703651309, y=0.0001026243, z=-0.0002333079
right_hip: x=-0.0703011900, y=-0.0004960150, z=-0.0004935255
left_knee: x=0.0534538254, y=0.1864267439, z=-0.1280807555
right_knee: x=-0.0541528985, y=0.1982816160, z=-0.1271020621
left_ankle: x=0.0165217463, y=0.2834164202, z=0.0333187170
right_ankle: x=-0.0417283326, y=0.3235889971, z=0.0355021730
