nose: x=-0.0009948905, y=-0.3789108992, z=-0.1445776820
left_eye: x=-0.0009948905, y=-0.3789108992, z=-0.1445776820
right_eye: x=-0.0009948905, y=-0.3789108992, z=-0.1445776820
left_ear: x=-0.0009948905, y=-0.3789108992, z=-0.1445776820
right_ear: x=-0.0009948905, y=-0.3789108992, z=-0.1445776820
left_shoulder: x=0.0936579257, y=-0.2767956257, z=-0.0828332454
right_shoulder: x=-0.1085100770, y=-0.2778374255, z=-0.0983335152
left_elbow: x=0.1318143904, y=-0.1119102240, z=-0.0168184098
right_elbow: x=-0.1522143483, y=-0.1068013459, z=-0.0426290371
left_wrist: x=0.1493333578, y=0.0342669003, z=0.0103591131
right_wrist: x=-0.1579881310, y=0.0496397726, z=-0.0299038626
left_hip: x=0.0679492205, y=-0.0005425289, z=-0.0041634408
right_hip: x=-0.0695743859, y=-0.0017010346, z=0.0056192987
left_knee: x=0.0359344184, y=-0.0048148409, z=-0.2000525594
right_knee: x=-0.0719085932, y=-0.0283318274, z=-0.1833313257
left_ankle: x=-0.0149053652, y=0.1572307944, z=-0.0761414170
right_ankle: x=-0.0300792456, y=0.1201889664, z=-0.0308228172
