nose: x=0.0027448977, y=-0.3906530738, z=-0.1002487615
left_eye: x=0.0027448977, y=-0.3906530738, z=-0.1002487615
right_eye: x=0.0027448977, y=-0.3906530738, z=-0.1002487615
left_ear: x=0.0027448977, y=-0.3906530738, z=-0.1002487615
right_ear: x=0.0027448977, y=-0.3906530738, z=-0.1002487615
left_shoulder: x=0.0945836827, y=-0.2858299613, z=-0.0616309419
right_shoulder: x=-0.1052698940, y=-0.2907904387, z=-0.0647057742
left_elbow: x=0.1306188107, y=-0.1154136360, z=0.0010676226
right_elbow: x=-0.1507142782, y=-0.1178000867, z=-0.0121453237
left_wrist: x=0.1462285221, y=0.0298874676, z=0.0247203317
right_wrist: x=-0.1568970382, y=0.0360398814, z=-0.0033891462
left_hip: x=0.0680436343, y=0.0001545250, z=-0.0092740180
right_hip: x=-0.0685633942, y=-0.0023616999, z=0.0107206749
left_knee: x=0.0296744741, y=-0.0660984814, z=-0.1996312886
right_knee: x=-0.0748271793, y=-0.0893082321, z=-0.1795261800
left_ankle: x=-0.0193952452, y=0.1518411338, z=-0.0964064002
right_ankle: x=-0.0241293721, y=0.1192165390, z=-0.0450759679
