nose: x=0.0058748238, y=-0.4647848010, z=-0.1109392866
left_eye: x=0.0058748238, y=-0.4647848010, z=-0.1109392866
right_eye: x=0.0058748238, y=-0.4647848010, z=-0.1109392866
left_ear: x=0.0058748238, y=-0.4647848010, z=-0.1109392866
right_ear: x=0.0058748238, y=-0.4647848010, z=-0.1109392866
left_shoulder: x=0.1052785814, y=-0.3283089995, z=-0.0464439914
right_shoulder: x=-0.1061099321, y=-0.3251171708, z=-0.0619884059
left_elbow: x=0.1450819373, y=-0.1592969745, z=0.0567079894
right_elbow: x=-0.1549012810, y=-0.1550052613, z=0.0348364972
left_wrist: x=0.1302783340, y=-0.0061191916, z=0.0913052708
right_wrist: x=-0.1408629119, y=0.0009401068, z=0.0641514733
left_hip: x=0.0780459642, y=0.0000641346, z=-0.0047024768
right_hip: x=-0.0785867423, y=-0.0020821244, z=0.0127170486
left_knee: x=0.0522945598, y=0.2588353753, z=0.0704809725
right_knee: x=-0.0671169832, y=0.2528039217, z=0.0873926505
left_ankle: x=0.0352417305, y=0.4883415997, z=0.1419310272
right_ankle: x=-0.0581308454, y=0.4784285128, z=0.1681144983
