nose: x=0.0021462790, y=-0.4652412534, z=-0.1115575507
left_eye: x=0.0021462790, y=-0.4652412534, z=-0.1115575507
right_eye: x=0.0021462790, y=-0.4652412534, z=-0.1115575507
left_ear: x=0.0021462790, y=-0.4652412534, z=-0.1115575507
right_ear: x=0.0021462790, y=-0.4652412534, z=-0.1115575507
left_shoulder: x=0.1038172543, y=-0.3298261166, z=-0.0472264364
right_shoulder: x=-0.1082426086, y=-0.3256477416, z=-0.0621874407
left_elbow: x=0.1443693638, y=-0.1614110917, z=0.0569900125
right_elbow: x=-0.1566676795, y=-0.1557486355, z=0.0345316045
left_wrist: x=0.1300970167, y=-0.0081302971, z=0.0922662318
right_wrist: x=-0.1413666904, y=0.0006548241, z=0.0638673678
left_hip: x=0.0782416314, y=-0.0001657382, z=-0.0046988465
right_hip: x=-0.0787099749, y=-0.0021129176, z=0.0131500848
left_knee: x=0.0534037054, y=0.2581247985, z=0.0720961541
right_knee: x=-0.0660431832, y=0.2527907193, z=0.0889362693
left_ankle: x=0.0376656279, y=0.4863143563, z=0.1422285140
right_ankle: x=-0.0551172048, y=0.4774731100, z=0.1686203778
