nose: x=0.0047703828, y=-0.4633249640, z=-0.1126875058
left_eye: x=0.0047703828, y=-0.4633249640, z=-0.1126875058
right_eye: x=0.0047703828, y=-0.4633249640, z=-0.1126875058
left_ear: x=0.0047703828, y=-0.4633249640, z=-0.1126875058
right_ear: x=0.0047703828, y=-0.4633249640, z=-0.1126875058
left_shoulder: x=0.1043804288, y=-0.3271479905, z=-0.0477203019
right_shoulder: x=-0.1063507944, y=-0.3239876926, z=-0.0633013323
left_elbow: x=0.1455825269, y=-0.1578922570, z=0.0549928062
right_elbow: x=-0.1548872888, y=-0.1540415138, z=0.0343878642
left_wrist: x=0.1307777762, y=-0.0051735044, z=0.0905753970
right_wrist: x=-0.1407796144, y=0.0011507943, z=0.0634251311
left_hip: x=0.0779780746, y=0.0006319061, z=-0.0054806191
right_hip: x=-0.0784759372, y=-0.0020175725, z=0.0123262377
left_knee: x=0.0524472743, y=0.2601117492, z=0.0684370622
right_knee: x=-0.0669624358, y=0.2533824146, z=0.0861515552
left_ankle: x=0.0356448814, y=0.4920710623, z=0.1400311887
right_ankle: x=-0.0585824400, y=0.4812069535, z=0.1656066328
