nose: x=0.0031288024, y=-0.4651166201, z=-0.1111172512
left_eye: x=0.0031288024, y=-0.4651166201, z=-0.1111172512
right_eye: x=0.0031288024, y=-0.4651166201, z=-0.1111172512
left_ear: x=0.0031288024, y=-0.4651166201, z=-0.1111172512
right_ear: x=0.0031288024, y=-0.4651166201, z=-0.1111172512
left_shoulder: x=0.1043543220, y=-0.3293584585, z=-0.0468080789
right_shoulder: x=-0.1077111065, y=-0.3254933953, z=-0.0623267069
left_elbow: x=0.1445806473, y=-0.1609075665, z=0.0570781380
right_elbow: x=-0.1562084854, y=-0.1556487381, z=0.0341299847
left_wrist: x=0.1299067140, y=-0.0078047365, z=0.0923121572
right_wrist: x=-0.1416081935, y=0.0006362051, z=0.0641666576
left_hip: x=0.0782424808, y=-0.0002723560, z=-0.0047217882
right_hip: x=-0.0787034482, y=-0.0020103678, z=0.0129214413
left_knee: x=0.0529839396, y=0.2579889297, z=0.0717271045
right_knee: x=-0.0665781498, y=0.2526294887, z=0.0889005288
left_ankle: x=0.0369070098, y=0.4861084819, z=0.1422857940
right_ankle: x=-0.0560839996, y=0.4771761298, z=0.1688815057
