nose: x=0.0036812006, y=-0.4655139446, z=-0.1107062250
left_eye: x=0.0036812006, y=-0.4655139446, z=-0.1107062250
right_eye: x=0.0036812006, y=-0.4655139446, z=-0.1107062250
left_ear: x=0.0036812006, y=-0.4655139446, z=-0.1107062250
right_ear: x=0.0036812006, y=-0.4655139446, z=-0.1107062250
left_shoulder: x=0.1047400534, y=-0.3294182420, z=-0.0463836417
right_shoulder: x=-0.1074692234, y=-0.3256461620, z=-0.0621325150
left_elbow: x=0.1446659714, y=-0.1607385874, z=0.0572638661
right_elbow: x=-0.1559396982, y=-0.1556235105, z=0.0340392664
left_wrist: x=0.1298417151, y=-0.0075834692, z=0.0922319144
right_wrist: x=-0.1415668428, y=0.0006986260, z=0.0643018261
left_hip: x=0.0782799646, y=-0.0003372654, z=-0.0046007596
right_hip: x=-0.0787882805, y=-0.0020143241, z=0.0127896601
left_knee: x=0.0527352616, y=0.2579046190, z=0.0716202259
right_knee: x=-0.0668769330, y=0.2525099814, z=0.0886888206
left_ankle: x=0.0364055634, y=0.4859007001, z=0.1421797872
right_ankle: x=-0.0566973686, y=0.4768742621, z=0.1688835770
