nose: x=0.0056086495, y=-0.4644799829, z=-0.1117190272
left_eye: x=0.0056086495, y=-0.4644799829, z=-0.1117190272
right_eye: x=0.0056086495, y=-0.4644799829, z=-0.1117190272
left_ear: x=0.0056086495, y=-0.4644799829, z=-0.1117190272
right_ear: x=0.0056086495, y=-0.4644799829, z=-0.1117190272
left_shoulder: x=0.1047863960, y=-0.3278722763, z=-0.0469432324
right_shoulder: x=-0.1063341349, y=-0.3247055113, z=-0.0625237077
left_elbow: x=0.1451376081, y=-0.1586356312, z=0.0558709167
right_elbow: x=-0.1550803781, y=-0.1545639932, z=0.0344181433
left_wrist: x=0.1305551678, y=-0.0054061860, z=0.0907028466
right_wrist: x=-0.1410186887, y=0.0011842251, z=0.0634813830
left_hip: x=0.0779683292, y=0.0003265291, z=-0.0051503205
right_hip: x=-0.0785671622, y=-0.0020060912, z=0.0125533650
left_knee: x=0.0522403754, y=0.2595572174, z=0.0697276443
right_knee: x=-0.0671231672, y=0.2531726956, z=0.0864853710
left_ankle: x=0.0350626558, y=0.4903964698, z=0.1411912739
right_ankle: x=-0.0586446449, y=0.4799936414, z=0.1669857204
