nose: x=0.0033180271, y=-0.4652855396, z=-0.1109795719
left_eye: x=0.0033180271, y=-0.4652855396, z=-0.1109795719
right_eye: x=0.0033180271, y=-0.4652855396, z=-0.1109795719
left_ear: x=0.0033180271, y=-0.4652855396, z=-0.1109795719
right_ear: x=0.0033180271, y=-0.4652855396, z=-0.1109795719
left_shoulder: x=0.1044851094, y=-0.3294469118, z=-0.0466630720
right_shoulder: x=-0.1076575443, y=-0.3255742192, z=-0.0623272508
left_elbow: x=0.1446271837, y=-0.1609195173, z=0.0571428835
right_elbow: x=-0.1561420560, y=-0.1556576490, z=0.0340394080
left_wrist: x=0.1299174130, y=-0.0077847838, z=0.0922916606
right_wrist: x=-0.1415430456, y=0.0006768033, z=0.0641871840
left_hip: x=0.0782726929, y=-0.0002935454, z=-0.0046741907
right_hip: x=-0.0787159950, y=-0.0020079762, z=0.0128687639
left_knee: x=0.0529246703, y=0.2579416931, z=0.0717278346
right_knee: x=-0.0666409358, y=0.2525942624, z=0.0888551176
left_ankle: x=0.0368186645, y=0.4860270023, z=0.1422529221
right_ankle: x=-0.0561987162, y=0.4770961404, z=0.1688632220
