nose: x=0.0058422727, y=-0.4646841288, z=-0.1112401336
left_eye: x=0.0058422727, y=-0.4646841288, z=-0.1112401336
right_eye: x=0.0058422727, y=-0.4646841288, z=-0.1112401336
left_ear: x=0.0058422727, y=-0.4646841288, z=-0.1112401336
right_ear: x=0.0058422727, y=-0.4646841288, z=-0.1112401336
left_shoulder: x=0.1049941182, y=-0.3281016350, z=-0.0466061123
right_shoulder: x=-0.1062350348, y=-0.3249405324, z=-0.0621899366
left_elbow: x=0.1450670362, y=-0.1589206904, z=0.0563953444
right_elbow: x=-0.1549799889, y=-0.1547341049, z=0.0347032808
left_wrist: x=0.1303754449, y=-0.0057168305, z=0.0910359100
right_wrist: x=-0.1408410370, y=0.0010340139, z=0.0637920871
left_hip: x=0.0779740661, y=0.0002155304, z=-0.0049064262
right_hip: x=-0.0785735175, y=-0.0020457208, z=0.0126263099
left_knee: x=0.0522871464, y=0.2591909766, z=0.0700842887
right_knee: x=-0.0671106130, y=0.2529807389, z=0.0869436339
left_ankle: x=0.0351677462, y=0.4894173145, z=0.1415089965
right_ankle: x=-0.0584215447, y=0.4792595506, z=0.1675712913
