nose: x=0.0051802425, y=-0.4640722275, z=-0.1121504232
left_eye: x=0.0051802425, y=-0.4640722275, z=-0.1121504232
right_eye: x=0.0051802425, y=-0.4640722275, z=-0.1121504232
left_ear: x=0.0051802425, y=-0.4640722275, z=-0.1121504232
right_ear: x=0.0051802425, y=-0.4640722275, z=-0.1121504232
left_shoulder: x=0.1045596004, y=-0.3276321888, z=-0.0472209379
right_shoulder: x=-0.1064114422, y=-0.3243461847, z=-0.0628489554
left_elbow: x=0.1452411413, y=-0.1583772898, z=0.0555511713
right_elbow: x=-0.1550519019, y=-0.1543253660, z=0.0343295895
left_wrist: x=0.1307262331, y=-0.0053089187, z=0.0906879753
right_wrist: x=-0.1408606768, y=0.0012369975, z=0.0635372475
left_hip: x=0.0779536366, y=0.0004355684, z=-0.0053734924
right_hip: x=-0.0785334483, y=-0.0020077303, z=0.0124987094
left_knee: x=0.0522477850, y=0.2598723173, z=0.0694289878
right_knee: x=-0.0670270100, y=0.2533369064, z=0.0863105655
left_ankle: x=0.0352045335, y=0.4912132621, z=0.1409706920
right_ankle: x=-0.0585937202, y=0.4805775285, z=0.1664172113
