nose: x=0.0058201156, y=-0.4648776054, z=-0.1108838767
left_eye: x=0.0058201156, y=-0.4648776054, z=-0.1108838767
right_eye: x=0.0058201156, y=-0.4648776054, z=-0.1108838767
left_ear: x=0.0058201156, y=-0.4648776054, z=-0.1108838767
right_ear: x=0.0058201156, y=-0.4648776054, z=-0.1108838767
left_shoulder: x=0.1053493768, y=-0.3284089565, z=-0.0464627743
right_shoulder: x=-0.1061244756, y=-0.3252111673, z=-0.0619898960
left_elbow: x=0.1450985670, y=-0.1593957245, z=0.0567932986
right_elbow: x=-0.1549386233, y=-0.1550927162, z=0.0348233990
left_wrist: x=0.1302533746, y=-0.0062417537, z=0.0913077071
right_wrist: x=-0.1409044266, y=0.0009155348, z=0.0642085075
left_hip: x=0.0780643523, y=0.0000218600, z=-0.0046635102
right_hip: x=-0.0785973668, y=-0.0020807832, z=0.0127161881
left_knee: x=0.0523088649, y=0.2587212324, z=0.0705915838
right_knee: x=-0.0671207979, y=0.2527681887, z=0.0874710605
left_ankle: x=0.0352751352, y=0.4880832136, z=0.1420852840
right_ankle: x=-0.0580453202, y=0.4782488942, z=0.1682352722
