nose: x=0.0033996431, y=-0.4653263688, z=-0.1109279022
left_eye: x=0.0033996431, y=-0.4653263688, z=-0.1109279022
right_eye: x=0.0033996431, y=-0.4653263688, z=-0.1109279022
left_ear: x=0.0033996431, y=-0.4653263688, z=-0.1109279022
right_ear: x=0.0033996431, y=-0.4653263688, z=-0.1109279022
left_shoulder: x=0.1045250967, y=-0.3294517696, z=-0.0465891212
right_shoulder: x=-0.1076184511, y=-0.3255978823, z=-0.0623062775
left_elbow: x=0.1446163207, y=-0.1608949304, z=0.0571806282
right_elbow: x=-0.1560908407, y=-0.1556512564, z=0.0339890346
left_wrist: x=0.1298892349, y=-0.0077433661, z=0.0922853649
right_wrist: x=-0.1415245980, y=0.0006983057, z=0.0642268360
left_hip: x=0.0782701373, y=-0.0003097951, z=-0.0046616439
right_hip: x=-0.0787256956, y=-0.0020050779, z=0.0128557533
left_knee: x=0.0528793782, y=0.2579146922, z=0.0717274472
right_knee: x=-0.0666743815, y=0.2525732517, z=0.0888361335
left_ankle: x=0.0367529653, y=0.4859574735, z=0.1422511488
right_ankle: x=-0.0562679619, y=0.4770248830, z=0.1688712537
