nose: x=0.0057103620, y=-0.4649765491, z=-0.1107905209
left_eye: x=0.0057103620, y=-0.4649765491, z=-0.1107905209
right_eye: x=0.0057103620, y=-0.4649765491, z=-0.1107905209
left_ear: x=0.0057103620, y=-0.4649765491, z=-0.1107905209
right_ear: x=0.0057103620, y=-0.4649765491, z=-0.1107905209
left_shoulder: x=0.1054391116, y=-0.3285256028, z=-0.0464425609
right_shoulder: x=-0.1061841846, y=-0.3253013492, z=-0.0619434379
left_elbow: x=0.1450902373, y=-0.1595558226, z=0.0568729565
right_elbow: x=-0.1550166309, y=-0.1552092433, z=0.0347601213
left_wrist: x=0.1302495897, y=-0.0064080656, z=0.0912809074
right_wrist: x=-0.1410042197, y=0.0009164810, z=0.0642942861
left_hip: x=0.0781021416, y=-0.0000023171, z=-0.0045977565
right_hip: x=-0.0786294639, y=-0.0020665005, z=0.0127052786
left_knee: x=0.0523038320, y=0.2585957050, z=0.0706789643
right_knee: x=-0.0671709776, y=0.2527385056, z=0.0875340402
left_ankle: x=0.0352970138, y=0.4878112674, z=0.1421556473
right_ankle: x=-0.0579925627, y=0.4780834615, z=0.1683769226
