nose: x=0.0052352231, y=-0.4633769989, z=-0.1126775444
left_eye: x=0.0052352231, y=-0.4633769989, z=-0.1126775444
right_eye: x=0.0052352231, y=-0.4633769989, z=-0.1126775444
left_ear: x=0.0052352231, y=-0.4633769989, z=-0.1126775444
right_ear: x=0.0052352231, y=-0.4633769989, z=-0.1126775444
left_shoulder: x=0.1046686396, y=-0.3268699348, z=-0.0474640280
right_shoulder: x=-0.1061404198, y=-0.3241427541, z=-0.0636681020
left_elbow: x=0.1458032429, y=-0.1578481644, z=0.0552810989
right_elbow: x=-0.1550593376, y=-0.1541305482, z=0.0345629081
left_wrist: x=0.1305642128, y=-0.0052856728, z=0.0911625773
right_wrist: x=-0.1410146952, y=0.0008558035, z=0.0634486377
left_hip: x=0.0780258700, y=0.0005577803, z=-0.0056923893
right_hip: x=-0.0785345733, y=-0.0019708276, z=0.0120783253
left_knee: x=0.0525851473, y=0.2599449456, z=0.0682810992
right_knee: x=-0.0669114366, y=0.2532610297, z=0.0861512423
left_ankle: x=0.0358243547, y=0.4918068647, z=0.1393462867
right_ankle: x=-0.0584586784, y=0.4809747338, z=0.1652668417
