nose: x=0.0021623056, y=-0.4652351737, z=-0.1115777940
left_eye: x=0.0021623056, y=-0.4652351737, z=-0.1115777940
right_eye: x=0.0021623056, y=-0.4652351737, z=-0.1115777940
left_ear: x=0.0021623056, y=-0.4652351737, z=-0.1115777940
right_ear: x=0.0021623056, y=-0.4652351737, z=-0.1115777940
left_shoulder: x=0.1038470417, y=-0.3298415542, z=-0.0472588390
right_shoulder: x=-0.1082507148, y=-0.3256656528, z=-0.0621694513
left_elbow: x=0.1443688273, y=-0.1614230126, z=0.0569647774
right_elbow: x=-0.1566618085, y=-0.1557587534, z=0.0345134027
left_wrist: x=0.1301170588, y=-0.0081376135, z=0.0922288224
right_wrist: x=-0.1413532197, y=0.0006568283, z=0.0638551190
left_hip: x=0.0782515481, y=-0.0001624003, z=-0.0046830843
right_hip: x=-0.0787089914, y=-0.0021099821, z=0.0131461276
left_knee: x=0.0534279309, y=0.2581195235, z=0.0720882118
right_knee: x=-0.0660365075, y=0.2527911067, z=0.0889084488
left_ankle: x=0.0377012230, y=0.4863193333, z=0.1422117352
right_ankle: x=-0.0550866500, y=0.4774817228, z=0.1686091125
