nose: x=0.0030101091, y=-0.4650494456, z=-0.1111806184
left_eye: x=0.0030101091, y=-0.4650494456, z=-0.1111806184
right_eye: x=0.0030101091, y=-0.4650494456, z=-0.1111806184
left_ear: x=0.0030101091, y=-0.4650494456, z=-0.1111806184
right_ear: x=0.0030101091, y=-0.4650494456, z=-0.1111806184
left_shoulder: x=0.1042861789, y=-0.3293490410, z=-0.0468734801
right_shoulder: x=-0.1077563241, y=-0.3254713118, z=-0.0623263940
left_elbow: x=0.1445690393, y=-0.1609314084, z=0.0570249707
right_elbow: x=-0.1562534273, y=-0.1556793004, z=0.0341967531
left_wrist: x=0.1299185008, y=-0.0078237280, z=0.0923249573
right_wrist: x=-0.1416283697, y=0.0006276816, z=0.0641654283
left_hip: x=0.0782282576, y=-0.0002515987, z=-0.0047478075
right_hip: x=-0.0787026882, y=-0.0020091832, z=0.0129513443
left_knee: x=0.0530038737, y=0.2579935789, z=0.0717097297
right_knee: x=-0.0665416718, y=0.2526304722, z=0.0889126211
left_ankle: x=0.0369437560, y=0.4861479998, z=0.1422758251
right_ankle: x=-0.0560270436, y=0.4772195220, z=0.1688960642
