nose: x=0.0037411037, y=-0.4655420184, z=-0.1106578037
left_eye: x=0.0037411037, y=-0.4655420184, z=-0.1106578037
right_eye: x=0.0037411037, y=-0.4655420184, z=-0.1106578037
left_ear: x=0.0037411037, y=-0.4655420184, z=-0.1106578037
right_ear: x=0.0037411037, y=-0.4655420184, z=-0.1106578037
left_shoulder: x=0.1047975570, y=-0.3294050694, z=-0.0463805087
right_shoulder: x=-0.1074289680, y=-0.3256534338, z=-0.0621173233
left_elbow: x=0.1446793377, y=-0.1606976241, z=0.0573118106
right_elbow: x=-0.1558941007, y=-0.1556138694, z=0.0341077857
left_wrist: x=0.1298477948, y=-0.0075379908, z=0.0922347307
right_wrist: x=-0.1415734589, y=0.0007106140, z=0.0643263236
left_hip: x=0.0782914609, y=-0.0003400147, z=-0.0045909639
right_hip: x=-0.0788089037, y=-0.0020164326, z=0.0128004402
left_knee: x=0.0527011417, y=0.2579039335, z=0.0715487003
right_knee: x=-0.0669326037, y=0.2524981499, z=0.0886403322
left_ankle: x=0.0363075770, y=0.4859343171, z=0.1421567500
right_ankle: x=-0.0568184070, y=0.4768764079, z=0.1689015031
