nose: x=0.0051110638, y=-0.4633998275, z=-0.1127088964
left_eye: x=0.0051110638, y=-0.4633998275, z=-0.1127088964
right_eye: x=0.0051110638, y=-0.4633998275, z=-0.1127088964
left_ear: x=0.0051110638, y=-0.4633998275, z=-0.1127088964
right_ear: x=0.0051110638, y=-0.4633998275, z=-0.1127088964
left_shoulder: x=0.1046105921, y=-0.3269384503, z=-0.0475385077
right_shoulder: x=-0.1061869338, y=-0.3241213560, z=-0.0636168271
left_elbow: x=0.1457927525, y=-0.1578526795, z=0.0551972762
right_elbow: x=-0.1550279558, y=-0.1541091204, z=0.0345437713
left_wrist: x=0.1306027621, y=-0.0052791908, z=0.0910654366
right_wrist: x=-0.1409499645, y=0.0008948445, z=0.0634471551
left_hip: x=0.0780331194, y=0.0005595237, z=-0.0056590941
right_hip: x=-0.0785316527, y=-0.0019972324, z=0.0121123735
left_knee: x=0.0525985323, y=0.2599892020, z=0.0683104396
right_knee: x=-0.0668884739, y=0.2532894909, z=0.0861560702
left_ankle: x=0.0358479023, y=0.4918624163, z=0.1394814104
right_ankle: x=-0.0584249720, y=0.4810344279, z=0.1653161049
