nose: x=0.0057384926, y=-0.4645397067, z=-0.1114547625
left_eye: x=0.0057384926, y=-0.4645397067, z=-0.1114547625
right_eye: x=0.0057384926, y=-0.4645397067, z=-0.1114547625
left_ear: x=0.0057384926, y=-0.4645397067, z=-0.1114547625
right_ear: x=0.0057384926, y=-0.4645397067, z=-0.1114547625
left_shoulder: x=0.1048621088, y=-0.3279616833, z=-0.0467766151
right_shoulder: x=-0.1062964648, y=-0.3248241544, z=-0.0623583198
left_elbow: x=0.1450652480, y=-0.1587778032, z=0.0561052859
right_elbow: x=-0.1550563872, y=-0.1546648145, z=0.0345626734
left_wrist: x=0.1304341853, y=-0.0055527017, z=0.0908329412
right_wrist: x=-0.1409469396, y=0.0010755360, z=0.0636285320
left_hip: x=0.0779315233, y=0.0002745315, z=-0.0050400374
right_hip: x=-0.0785670727, y=-0.0020146072, z=0.0125998780
left_knee: x=0.0522194691, y=0.2593705952, z=0.0699499100
right_knee: x=-0.0671502128, y=0.2530789971, z=0.0867420360
left_ankle: x=0.0350498222, y=0.4899144471, z=0.1413532197
right_ankle: x=-0.0586043596, y=0.4796320200, z=0.1672890186
