nose: x=0.0042192838, y=-0.4655217528, z=-0.1104889810
left_eye: x=0.0042192838, y=-0.4655217528, z=-0.1104889810
right_eye: x=0.0042192838, y=-0.4655217528, z=-0.1104889810
left_ear: x=0.0042192838, y=-0.4655217528, z=-0.1104889810
right_ear: x=0.0042192838, y=-0.4655217528, z=-0.1104889810
left_shoulder: x=0.1050709337, y=-0.3292133808, z=-0.0463002175
right_shoulder: x=-0.1070540324, y=-0.3256428242, z=-0.0619057864
left_elbow: x=0.1448025554, y=-0.1604114920, z=0.0573984124
right_elbow: x=-0.1556764543, y=-0.1555789709, z=0.0346580520
left_wrist: x=0.1299376190, y=-0.0072961599, z=0.0922595859
right_wrist: x=-0.1415463984, y=0.0007249713, z=0.0645013750
left_hip: x=0.0782768205, y=-0.0002648756, z=-0.0045930562
right_hip: x=-0.0787790567, y=-0.0020461008, z=0.0128163695
left_knee: x=0.0525944382, y=0.2580302060, z=0.0712796748
right_knee: x=-0.0670867115, y=0.2525285780, z=0.0884195641
left_ankle: x=0.0359535627, y=0.4862896800, z=0.1420969963
right_ankle: x=-0.0572391301, y=0.4770444632, z=0.1689251363
