nose: x=0.0038127964, y=-0.4655551910, z=-0.1106171459
left_eye: x=0.0038127964, y=-0.4655551910, z=-0.1106171459
right_eye: x=0.0038127964, y=-0.4655551910, z=-0.1106171459
left_ear: x=0.0038127964, y=-0.4655551910, z=-0.1106171459
right_ear: x=0.0038127964, y=-0.4655551910, z=-0.1106171459
left_shoulder: x=0.1048491597, y=-0.3293864131, z=-0.0463686213
right_shoulder: x=-0.1073673218, y=-0.3256549239, z=-0.0620804280
left_elbow: x=0.1447026432, y=-0.1606585681, z=0.0573226586
right_elbow: x=-0.1558446586, y=-0.1556100249, z=0.0341783352
left_wrist: x=0.1298485100, y=-0.0074933842, z=0.0922494233
right_wrist: x=-0.1415739059, y=0.0007212535, z=0.0643663481
left_hip: x=0.0782829225, y=-0.0003388077, z=-0.0045888107
right_hip: x=-0.0788159668, y=-0.0020165369, z=0.0127917510
left_knee: x=0.0526723042, y=0.2579068840, z=0.0714811385
right_knee: x=-0.0669828653, y=0.2524802983, z=0.0886011869
left_ankle: x=0.0362189524, y=0.4859638214, z=0.1421068609
right_ankle: x=-0.0569258407, y=0.4768729210, z=0.1689083427
