nose: x=0.0074503920, y=-0.4630988538, z=-0.1128147766
left_eye: x=0.0074503920, y=-0.4630988538, z=-0.1128147766
right_eye: x=0.0074503920, y=-0.4630988538, z=-0.1128147766
left_ear: x=0.0074503920, y=-0.4630988538, z=-0.1128147766
right_ear: x=0.0074503920, y=-0.4630988538, z=-0.1128147766
left_shoulder: x=0.1056882292, y=-0.3260860145, z=-0.0469043329
right_shoulder: x=-0.1053013057, y=-0.3244863451, z=-0.0642522424
left_elbow: x=0.1458193958, y=-0.1573839188, z=0.0561722517
right_elbow: x=-0.1553467214, y=-0.1546548456, z=0.0344487019
left_wrist: x=0.1303485334, y=-0.0053323358, z=0.0921687186
right_wrist: x=-0.1417218745, y=0.0002899319, z=0.0633477941
left_hip: x=0.0781502426, y=0.0005242229, z=-0.0062473188
right_hip: x=-0.0786720216, y=-0.0017851591, z=0.0118677206
left_knee: x=0.0522732064, y=0.2598464787, z=0.0684819892
right_knee: x=-0.0672980621, y=0.2531874776, z=0.0863837153
left_ankle: x=0.0352386311, y=0.4915542006, z=0.1384286880
right_ankle: x=-0.0591000170, y=0.4806807041, z=0.1650943458
