nose: x=0.0058677881, y=-0.4647110105, z=-0.1111814752
left_eye: x=0.0058677881, y=-0.4647110105, z=-0.1111814752
right_eye: x=0.0058677881, y=-0.4647110105, z=-0.1111814752
left_ear: x=0.0058677881, y=-0.4647110105, z=-0.1111814752
right_ear: x=0.0058677881, y=-0.4647110105, z=-0.1111814752
left_shoulder: x=0.1050406545, y=-0.3281400204, z=-0.0465461612
right_shoulder: x=-0.1062122658, y=-0.3249765635, z=-0.0621397533
left_elbow: x=0.1450723708, y=-0.1589811742, z=0.0564720854
right_elbow: x=-0.1549448222, y=-0.1547719240, z=0.0347214416
left_wrist: x=0.1303621233, y=-0.0057803690, z=0.0911066905
right_wrist: x=-0.1408209205, y=0.0010133311, z=0.0638466477
left_hip: x=0.0779834390, y=0.0001877174, z=-0.0048733349
right_hip: x=-0.0785680860, y=-0.0020627081, z=0.0126452269
left_knee: x=0.0522981808, y=0.2591421902, z=0.0701628029
right_knee: x=-0.0671039745, y=0.2529570162, z=0.0870198905
left_ankle: x=0.0351925567, y=0.4892479181, z=0.1415788680
right_ankle: x=-0.0583627224, y=0.4791384935, z=0.1676676124
