nose: x=0.0086328574, y=-0.4630368948, z=-0.1128986701
left_eye: x=0.0086328574, y=-0.4630368948, z=-0.1128986701
right_eye: x=0.0086328574, y=-0.4630368948, z=-0.1128986701
left_ear: x=0.0086328574, y=-0.4630368948, z=-0.1128986701
right_ear: x=0.0086328574, y=-0.4630368948, z=-0.1128986701
left_shoulder: x=0.1062145382, y=-0.3256621957, z=-0.0464762971
right_shoulder: x=-0.1049211174, y=-0.3246206641, z=-0.0646045133
left_elbow: x=0.1458484530, y=-0.1571902335, z=0.0564586744
right_elbow: x=-0.1554377377, y=-0.1548684239, z=0.0336244330
left_wrist: x=0.1304862648, y=-0.0051595569, z=0.0925823599
right_wrist: x=-0.1419012249, y=0.0002409294, z=0.0628012791
left_hip: x=0.0782947391, y=0.0004741326, z=-0.0063503655
right_hip: x=-0.0787240863, y=-0.0016525984, z=0.0117510110
left_knee: x=0.0522446074, y=0.2600598633, z=0.0688433498
right_knee: x=-0.0673080683, y=0.2534258962, z=0.0864683688
left_ankle: x=0.0352160148, y=0.4914886355, z=0.1383568048
right_ankle: x=-0.0591324046, y=0.4806885123, z=0.1650302112
