nose: x=0.0023924820, y=-0.4651190937, z=-0.1113572195
left_eye: x=0.0023924820, y=-0.4651190937, z=-0.1113572195
right_eye: x=0.0023924820, y=-0.4651190937, z=-0.1113572195
left_ear: x=0.0023924820, y=-0.4651190937, z=-0.1113572195
right_ear: x=0.0023924820, y=-0.4651190937, z=-0.1113572195
left_shoulder: x=0.1039358079, y=-0.3295220733, z=-0.0470255613
right_shoulder: x=-0.1079869121, y=-0.3254945576, z=-0.0622031316
left_elbow: x=0.1444981694, y=-0.1611902416, z=0.0569996610
right_elbow: x=-0.1565166712, y=-0.1557394266, z=0.0345356390
left_wrist: x=0.1300802529, y=-0.0079799071, z=0.0924364477
right_wrist: x=-0.1415250003, y=0.0006594807, z=0.0640435293
left_hip: x=0.0782571211, y=-0.0002150089, z=-0.0048167161
right_hip: x=-0.0786751211, y=-0.0020756423, z=0.0131015182
left_knee: x=0.0531999022, y=0.2580153942, z=0.0718596205
right_knee: x=-0.0662808046, y=0.2526329756, z=0.0889730677
left_ankle: x=0.0373272114, y=0.4862582684, z=0.1422181726
right_ankle: x=-0.0555398464, y=0.4773526192, z=0.1688185483
