nose: x=0.0047505111, y=-0.4633973837, z=-0.1126556471
left_eye: x=0.0047505111, y=-0.4633973837, z=-0.1126556471
right_eye: x=0.0047505111, y=-0.4633973837, z=-0.1126556471
left_ear: x=0.0047505111, y=-0.4633973837, z=-0.1126556471
right_ear: x=0.0047505111, y=-0.4633973837, z=-0.1126556471
left_shoulder: x=0.1043916941, y=-0.3272535801, z=-0.0477417186
right_shoulder: x=-0.1063935310, y=-0.3239979148, z=-0.0632738322
left_elbow: x=0.1455404907, y=-0.1579588950, z=0.0550431758
right_elbow: x=-0.1549265236, y=-0.1540571749, z=0.0343130827
left_wrist: x=0.1308335960, y=-0.0052202344, z=0.0904912353
right_wrist: x=-0.1407597363, y=0.0011849776, z=0.0634260699
left_hip: x=0.0779731125, y=0.0006006807, z=-0.0054666549
right_hip: x=-0.0784719139, y=-0.0020282790, z=0.0123674739
left_knee: x=0.0524171367, y=0.2600702047, z=0.0686244965
right_knee: x=-0.0669555515, y=0.2533756495, z=0.0861929134
left_ankle: x=0.0355612263, y=0.4919915795, z=0.1402544230
right_ankle: x=-0.0585977733, y=0.4811421931, z=0.1657282859
