nose: x=0.0055793794, y=-0.4650068879, z=-0.1106985062
left_eye: x=0.0055793794, y=-0.4650068879, z=-0.1106985062
right_eye: x=0.0055793794, y=-0.4650068879, z=-0.1106985062
left_ear: x=0.0055793794, y=-0.4650068879, z=-0.1106985062
right_ear: x=0.0055793794, y=-0.4650068879, z=-0.1106985062
left_shoulder: x=0.1054827124, y=-0.3286389709, z=-0.0464057773
right_shoulder: x=-0.1062505990, y=-0.3253543079, z=-0.0619462803
left_elbow: x=0.1450961828, y=-0.1597015560, z=0.0570066124
right_elbow: x=-0.1551108956, y=-0.1552802622, z=0.0347568579
left_wrist: x=0.1302594543, y=-0.0065640286, z=0.0913835615
right_wrist: x=-0.1410573125, y=0.0008970127, z=0.0643539578
left_hip: x=0.0781198144, y=-0.0000382289, z=-0.0045449105
right_hip: x=-0.0786303356, y=-0.0020585582, z=0.0127179036
left_knee: x=0.0523127317, y=0.2585023940, z=0.0708033070
right_knee: x=-0.0671831444, y=0.2527229190, z=0.0876611248
left_ankle: x=0.0353596769, y=0.4876397550, z=0.1422037780
right_ankle: x=-0.0579125285, y=0.4779736400, z=0.1684636325
