nose: x=0.0049445638, y=-0.4633570313, z=-0.1127229035
left_eye: x=0.0049445638, y=-0.4633570313, z=-0.1127229035
right_eye: x=0.0049445638, y=-0.4633570313, z=-0.1127229035
left_ear: x=0.0049445638, y=-0.4633570313, z=-0.1127229035
right_ear: x=0.0049445638, y=-0.4633570313, z=-0.1127229035
left_shoulder: x=0.1045048982, y=-0.3270016313, z=-0.0476103425
right_shoulder: x=-0.1062463373, y=-0.3240644336, z=-0.0634864643
left_elbow: x=0.1457384080, y=-0.1578470618, z=0.0550818145
right_elbow: x=-0.1549675167, y=-0.1540873200, z=0.0344892442
left_wrist: x=0.1306863725, y=-0.0052381232, z=0.0908804014
right_wrist: x=-0.1408767700, y=0.0009894073, z=0.0634460971
left_hip: x=0.0779984221, y=0.0005984604, z=-0.0055778520
right_hip: x=-0.0784787536, y=-0.0020112917, z=0.0121810632
left_knee: x=0.0525474884, y=0.2600294948, z=0.0683220923
right_knee: x=-0.0668933988, y=0.2533117235, z=0.0861360431
left_ankle: x=0.0358089060, y=0.4919375479, z=0.1396603286
right_ankle: x=-0.0584348217, y=0.4811076522, z=0.1653843671
