nose: x=0.0048406697, y=-0.4635578394, z=-0.1125242338
left_eye: x=0.0048406697, y=-0.4635578394, z=-0.1125242338
right_eye: x=0.0048406697, y=-0.4635578394, z=-0.1125242338
left_ear: x=0.0048406697, y=-0.4635578394, z=-0.1125242338
right_ear: x=0.0048406697, y=-0.4635578394, z=-0.1125242338
left_shoulder: x=0.1044293195, y=-0.3273754716, z=-0.0476354621
right_shoulder: x=-0.1064227968, y=-0.3240506649, z=-0.0631299317
left_elbow: x=0.1454638243, y=-0.1580847800, z=0.0552073717
right_elbow: x=-0.1549623907, y=-0.1540993601, z=0.0342618786
left_wrist: x=0.1308732629, y=-0.0052405447, z=0.0905603617
right_wrist: x=-0.1407767087, y=0.0012796298, z=0.0635174587
left_hip: x=0.0779994726, y=0.0005643368, z=-0.0054950989
right_hip: x=-0.0785133913, y=-0.0020256266, z=0.0124116335
left_knee: x=0.0523706116, y=0.2599996924, z=0.0689286739
right_knee: x=-0.0669721738, y=0.2533630133, z=0.0862487331
left_ankle: x=0.0354490280, y=0.4917807281, z=0.1405083537
right_ankle: x=-0.0586004481, y=0.4809664786, z=0.1658740789
