nose: x=0.0050174324, y=-0.4633995295, z=-0.1127250642
left_eye: x=0.0050174324, y=-0.4633995295, z=-0.1127250642
right_eye: x=0.0050174324, y=-0.4633995295, z=-0.1127250642
left_ear: x=0.0050174324, y=-0.4633995295, z=-0.1127250642
right_ear: x=0.0050174324, y=-0.4633995295, z=-0.1127250642
left_shoulder: x=0.1045657918, y=-0.3269858956, z=-0.0475672260
right_shoulder: x=-0.1062241420, y=-0.3241036236, z=-0.0635356456
left_elbow: x=0.1457832456, y=-0.1578529626, z=0.0551523194
right_elbow: x=-0.1550039947, y=-0.1540981382, z=0.0345221236
left_wrist: x=0.1306570470, y=-0.0052641556, z=0.0909762159
right_wrist: x=-0.1409129500, y=0.0009443313, z=0.0634447411
left_hip: x=0.0780293643, y=0.0005722120, z=-0.0056164246
right_hip: x=-0.0785141140, y=-0.0020130947, z=0.0121408813
left_knee: x=0.0525735207, y=0.2600046098, z=0.0683335662
right_knee: x=-0.0668826848, y=0.2532939911, z=0.0861569643
left_ankle: x=0.0358343795, y=0.4919121265, z=0.1395741999
right_ankle: x=-0.0584195331, y=0.4810820818, z=0.1653499454
