nose: x=0.0057125911, y=-0.4633395970, z=-0.1126786992
left_eye: x=0.0057125911, y=-0.4633395970, z=-0.1126786992
right_eye: x=0.0057125911, y=-0.4633395970, z=-0.1126786992
left_ear: x=0.0057125911, y=-0.4633395970, z=-0.1126786992
right_ear: x=0.0057125911, y=-0.4633395970, z=-0.1126786992
left_shoulder: x=0.1049267948, y=-0.3266872466, z=-0.0472945943
right_shoulder: x=-0.1059560180, y=-0.3242265582, z=-0.0638211444
left_elbow: x=0.1458556354, y=-0.1577353626, z=0.0555168688
right_elbow: x=-0.1551467776, y=-0.1542285979, z=0.0346174836
left_wrist: x=0.1304942667, y=-0.0053234622, z=0.0914458185
right_wrist: x=-0.1411866099, y=0.0007147118, z=0.0634484887
left_hip: x=0.0780693367, y=0.0005556718, z=-0.0058369944
right_hip: x=-0.0785675347, y=-0.0019082129, z=0.0119975014
left_knee: x=0.0525597408, y=0.2598386407, z=0.0683219507
right_knee: x=-0.0669660419, y=0.2531954050, z=0.0861899853
left_ankle: x=0.0357692204, y=0.4916878939, z=0.1390465200
right_ankle: x=-0.0585334599, y=0.4808517098, z=0.1651871204
