nose: x=0.0039763041, y=-0.4655811787, z=-0.1105281562
left_eye: x=0.0039763041, y=-0.4655811787, z=-0.1105281562
right_eye: x=0.0039763041, y=-0.4655811787, z=-0.1105281562
left_ear: x=0.0039763041, y=-0.4655811787, z=-0.1105281562
right_ear: x=0.0039763041, y=-0.4655811787, z=-0.1105281562
left_shoulder: x=0.1049504876, y=-0.3293282986, z=-0.0463008806
right_shoulder: x=-0.1072436273, y=-0.3256644607, z=-0.0619640499
left_elbow: x=0.1447421610, y=-0.1605788171, z=0.0573817603
right_elbow: x=-0.1557681113, y=-0.1556129754, z=0.0343963988
left_wrist: x=0.1298843473, y=-0.0074377060, z=0.0923338905
right_wrist: x=-0.1415783465, y=0.0007221848, z=0.0644693524
left_hip: x=0.0782989860, y=-0.0003208295, z=-0.0046007596
right_hip: x=-0.0788253397, y=-0.0020444021, z=0.0127968676
left_knee: x=0.0526277870, y=0.2579429746, z=0.0714174211
right_knee: x=-0.0670668408, y=0.2524759769, z=0.0885579884
left_ankle: x=0.0360770561, y=0.4860525131, z=0.1421035826
right_ankle: x=-0.0570995808, y=0.4768882394, z=0.1689616293
