nose: x=0.2650245428, y=-0.5904341936, z=-0.0194759965
left_eye: x=0.2650245428, y=-0.5904341936, z=-0.0194759965
right_eye: x=0.2650245428, y=-0.5904341936, z=-0.0194759965
left_ear: x=0.2650245428, y=-0.5904341936, z=-0.0194759965
right_ear: x=0.2650245428, y=-0.5904341936, z=-0.0194759965
left_shoulder: x=0.0714675635, y=-0.4960095286, z=0.1375226825
right_shoulder: x=0.0900603086, y=-0.5129606724, z=-0.1607612818
left_elbow: x=0.0476608761, y=-0.2157737762, z=0.2131085545
right_elbow: x=-0.0122291911, y=-0.2239663154, z=-0.2512993217
left_wrist: x=0.1825485080, y=-0.0646073595, z=0.2294815481
right_wrist: x=0.2247089148, y=-0.0894550309, z=-0.2928150296
left_hip: x=0.0072575491, y=-0.0116598755, z=0.1116549671
right_hip: x=-0.0060583698, y=0.0164443776, z=-0.1121825874
left_knee: x=0.2866655588, y=0.1428763568, z=0.2524029016
right_knee: x=0.2994639874, y=0.2164984196, z=-0.1354774982
left_ankle: x=-0.0289985985, y=0.1482887268, z=0.1571632028
right_ankle: x=-0.0278539546, y=0.2381068170, z=-0.0570825934
