nose: x=0.1947335899, y=-0.6220685244, z=-0.0256480649
left_eye: x=0.1947335899, y=-0.6220685244, z=-0.0256480649
right_eye: x=0.1947335899, y=-0.6220685244, z=-0.0256480649
left_ear: x=0.1947335899, y=-0.6220685244, z=-0.0256480649
right_ear: x=0.1947335899, y=-0.6220685244, z=-0.0256480649
left_shoulder: x=0.0356154665, y=-0.4871128500, z=0.1365422904
right_shoulder: x=0.0287796725, y=-0.5164906383, z=-0.1735850424
left_elbow: x=0.0163447186, y=-0.2206501663, z=0.2073398530
right_elbow: x=-0.1060367972, y=-0.2531968951, z=-0.2372745275
left_wrist: x=0.1592155695, y=-0.0945049450, z=0.2290767729
right_wrist: x=0.1185620874, y=-0.1208070070, z=-0.2502872944
left_hip: x=0.0083075110, y=-0.0097757019, z=0.1064367369
right_hip: x=-0.0142055554, y=0.0161247067, z=-0.1136968359
left_knee: x=0.2992452085, y=0.1079451665, z=0.2084369361
right_knee: x=0.2920094132, y=0.1752537489, z=-0.1605516821
left_ankle: x=-0.0366724283, y=0.1698727906, z=0.1756897122
right_ankle: x=-0.0639157444, y=0.2571753263, z=-0.0794500113
