nose: x=0.3349985480, y=-0.5500161648, z=-0.0034503173
left_eye: x=0.3349985480, y=-0.5500161648, z=-0.0034503173
right_eye: x=0.3349985480, y=-0.5500161648, z=-0.0034503173
left_ear: x=0.3349985480, y=-0.5500161648, z=-0.0034503173
right_ear: x=0.3349985480, y=-0.5500161648, z=-0.0034503173
left_shoulder: x=0.1157774553, y=-0.4767737389, z=0.1483032703
right_shoulder: x=0.1732891053, y=-0.4832706451, z=-0.1586827934
left_elbow: x=0.1376699805, y=-0.1799862981, z=0.1758071780
right_elbow: x=0.1615197659, y=-0.1620671153, z=-0.1974123865
left_wrist: x=0.2460089326, y=0.0239611119, z=0.1791739017
right_wrist: x=0.3536548018, y=0.0827304423, z=-0.2244997025
left_hip: x=0.0011780271, y=-0.0136382021, z=0.1078216657
right_hip: x=0.0014893645, y=0.0248734578, z=-0.1120186746
left_knee: x=0.2819937468, y=0.1327358186, z=0.2585850358
right_knee: x=0.3096198440, y=0.2065750062, z=-0.0980311930
left_ankle: x=-0.0022999933, y=0.1205071211, z=0.1552985907
right_ankle: x=0.0025902526, y=0.2124427855, z=-0.0627220124
