nose: x=0.2186478227, y=-0.6083740592, z=-0.0171550252
left_eye: x=0.2186478227, y=-0.6083740592, z=-0.0171550252
right_eye: x=0.2186478227, y=-0.6083740592, z=-0.0171550252
left_ear: x=0.2186478227, y=-0.6083740592, z=-0.0171550252
right_ear: x=0.2186478227, y=-0.6083740592, z=-0.0171550252
left_shoulder: x=0.0652923360, y=-0.4962559938, z=0.1354934275
right_shoulder: x=0.0593098328, y=-0.5241615176, z=-0.1800528169
left_elbow: x=0.0352611355, y=-0.2419817448, z=0.2294494063
right_elbow: x=-0.0906792581, y=-0.2893333435, z=-0.2647720575
left_wrist: x=0.1669229567, y=-0.1117369905, z=0.2334460020
right_wrist: x=0.1328112185, y=-0.1402907968, z=-0.2639331818
left_hip: x=0.0053704977, y=-0.0068923086, z=0.1094256118
right_hip: x=-0.0151393758, y=0.0075383261, z=-0.1168595552
left_knee: x=0.2775204778, y=0.1757224202, z=0.2053611875
right_knee: x=0.2458774745, y=0.2489193380, z=-0.1398126185
left_ankle: x=-0.0511690900, y=0.2885297239, z=0.1978375316
right_ankle: x=-0.1283344477, y=0.3851784468, z=-0.0838002041
