nose: x=0.3254701495, y=-0.5575691462, z=-0.0048409621
left_eye: x=0.3254701495, y=-0.5575691462, z=-0.0048409621
right_eye: x=0.3254701495, y=-0.5575691462, z=-0.0048409621
left_ear: x=0.3254701495, y=-0.5575691462, z=-0.0048409621
right_ear: x=0.3254701495, y=-0.5575691462, z=-0.0048409621
left_shoulder: x=0.1042836159, y=-0.4821453989, z=0.1443260908
right_shoulder: x=0.1675699949, y=-0.4872283340, z=-0.1608353108
left_elbow: x=0.1280486584, y=-0.1838812828, z=0.1749556661
right_elbow: x=0.1549047232, y=-0.1667286158, z=-0.2030181289
left_wrist: x=0.2421938181, y=0.0159866959, z=0.1757107377
right_wrist: x=0.3439077139, y=0.0769958273, z=-0.2307873070
left_hip: x=-0.0056218612, y=-0.0128820539, z=0.1079361886
right_hip: x=0.0057383440, y=0.0250982307, z=-0.1110771745
left_knee: x=0.2808226347, y=0.1328490525, z=0.2589857876
right_knee: x=0.3202893138, y=0.1999500096, z=-0.1004355252
left_ankle: x=0.0008594310, y=0.1260459572, z=0.1493778527
right_ankle: x=0.0105862133, y=0.2150788009, z=-0.0644889474
