nose: x=0.0968101993, y=-0.5388796926, z=-0.1133409217
left_eye: x=0.0968101993, y=-0.5388796926, z=-0.1133409217
right_eye: x=0.0968101993, y=-0.5388796926, z=-0.1133409217
left_ear: x=0.0968101993, y=-0.5388796926, z=-0.1133409217
right_ear: x=0.0968101993, y=-0.5388796926, z=-0.1133409217
left_shoulder: x=-0.0048247529, y=-0.4393223524, z=0.0339551680
right_shoulder: x=-0.0486592278, y=-0.4741965532, z=-0.2219425887
left_elbow: x=-0.0175043326, y=-0.2187531292, z=0.1704179943
right_elbow: x=-0.1031174511, y=-0.2886950374, z=-0.3263156414
left_wrist: x=0.1207339391, y=-0.1123374477, z=0.0828126594
right_wrist: x=0.1111168489, y=-0.1468515694, z=-0.2208817005
left_hip: x=0.0115457904, y=0.0042912066, z=0.1131658554
right_hip: x=-0.0126626622, y=0.0002757311, z=-0.1168236136
left_knee: x=-0.0069725960, y=0.3990993798, z=0.1467981637
right_knee: x=-0.0153603870, y=0.4091775417, z=-0.0054701604
left_ankle: x=-0.0649050027, y=0.8055216670, z=0.1846047938
right_ankle: x=-0.0817588419, y=0.8295545578, z=0.0813591331
