nose: x=0.1168970391, y=-0.5381394029, z=-0.1154422462
left_eye: x=0.1168970391, y=-0.5381394029, z=-0.1154422462
right_eye: x=0.1168970391, y=-0.5381394029, z=-0.1154422462
left_ear: x=0.1168970391, y=-0.5381394029, z=-0.1154422462
right_ear: x=0.1168970391, y=-0.5381394029, z=-0.1154422462
left_shoulder: x=0.0092070010, y=-0.4433817863, z=0.0319909304
right_shoulder: x=-0.0440419093, y=-0.4785425663, z=-0.2198049128
left_elbow: x=-0.0029907366, y=-0.2270442247, z=0.1730235219
right_elbow: x=-0.1046366841, y=-0.2953405678, z=-0.3337186575
left_wrist: x=0.1276765913, y=-0.1219905764, z=0.0888395235
right_wrist: x=0.1088179201, y=-0.1468558609, z=-0.2414847612
left_hip: x=0.0154447304, y=0.0023422092, z=0.1154777557
right_hip: x=-0.0160437822, y=0.0000896975, z=-0.1188831627
left_knee: x=0.0002950625, y=0.3926441073, z=0.1564149857
right_knee: x=-0.0064022634, y=0.4061670303, z=-0.0086462162
left_ankle: x=-0.0614419952, y=0.7984620333, z=0.1929852068
right_ankle: x=-0.0669291168, y=0.8264338970, z=0.0701407641
