nose: x=0.1010308266, y=-0.5360332131, z=-0.1175705791
left_eye: x=0.1010308266, y=-0.5360332131, z=-0.1175705791
right_eye: x=0.1010308266, y=-0.5360332131, z=-0.1175705791
left_ear: x=0.1010308266, y=-0.5360332131, z=-0.1175705791
right_ear: x=0.1010308266, y=-0.5360332131, z=-0.1175705791
left_shoulder: x=-0.0019112312, y=-0.4434508085, z=0.0308594108
right_shoulder: x=-0.0502208546, y=-0.4762128592, z=-0.2246614099
left_elbow: x=-0.0118565485, y=-0.2257065326, z=0.1686178744
right_elbow: x=-0.1050801426, y=-0.2915491462, z=-0.3307691216
left_wrist: x=0.1246474162, y=-0.1230088621, z=0.0858893767
right_wrist: x=0.1094346642, y=-0.1479814798, z=-0.2322683334
left_hip: x=0.0127232820, y=0.0038632527, z=0.1140642986
right_hip: x=-0.0133794053, y=0.0002779886, z=-0.1178652793
left_knee: x=-0.0051506669, y=0.3971509635, z=0.1481599957
right_knee: x=-0.0147317369, y=0.4086160660, z=-0.0061388686
left_ankle: x=-0.0645130053, y=0.8027883768, z=0.1869629174
right_ankle: x=-0.0814142600, y=0.8285022974, z=0.0784223229
