nose: x=0.1019316167, y=-0.5365216732, z=-0.1173980460
left_eye: x=0.1019316167, y=-0.5365216732, z=-0.1173980460
right_eye: x=0.1019316167, y=-0.5365216732, z=-0.1173980460
left_ear: x=0.1019316167, y=-0.5365216732, z=-0.1173980460
right_ear: x=0.1019316167, y=-0.5365216732, z=-0.1173980460
left_shoulder: x=0.0004069069, y=-0.4431236386, z=0.0313297734
right_shoulder: x=-0.0476848446, y=-0.4762466550, z=-0.2252867520
left_elbow: x=-0.0092565604, y=-0.2247487754, z=0.1685378551
right_elbow: x=-0.1035149992, y=-0.2913054526, z=-0.3301975727
left_wrist: x=0.1262743324, y=-0.1199255064, z=0.0848081708
right_wrist: x=0.1115605459, y=-0.1482461393, z=-0.2300385386
left_hip: x=0.0125190876, y=0.0040662065, z=0.1136586368
right_hip: x=-0.0130216032, y=0.0003799051, z=-0.1177057326
left_knee: x=-0.0023570098, y=0.3977062106, z=0.1474015713
right_knee: x=-0.0105904611, y=0.4090506434, z=-0.0065886164
left_ankle: x=-0.0642238334, y=0.8017508984, z=0.1864494830
right_ankle: x=-0.0803578496, y=0.8276467323, z=0.0792690068
