nose: x=0.2225093842, y=-0.5485085249, z=-0.0623997301
left_eye: x=0.2225093842, y=-0.5485085249, z=-0.0623997301
right_eye: x=0.2225093842, y=-0.5485085249, z=-0.0623997301
left_ear: x=0.2225093842, y=-0.5485085249, z=-0.0623997301
right_ear: x=0.2225093842, y=-0.5485085249, z=-0.0623997301
left_shoulder: x=0.0904324874, y=-0.4594665766, z=0.0854202807
right_shoulder: x=0.0268793851, y=-0.4960735440, z=-0.2081081271
left_elbow: x=0.0502604619, y=-0.2302385569, z=0.2218769491
right_elbow: x=-0.0739505291, y=-0.2905962765, z=-0.3119025826
left_wrist: x=0.1692858338, y=-0.0934038684, z=0.1428574473
right_wrist: x=0.1399036050, y=-0.1279519498, z=-0.2591629624
left_hip: x=0.0168615598, y=0.0001998246, z=0.1164742410
right_hip: x=-0.0219294429, y=0.0014311522, z=-0.1182488725
left_knee: x=0.1802061796, y=0.3273487389, z=0.2115774304
right_knee: x=0.1400445700, y=0.3617846966, z=-0.0545579530
left_ankle: x=-0.0694671050, y=0.6204269528, z=0.2243336737
right_ankle: x=-0.1314739585, y=0.6858050823, z=0.0184619091
